author_ID,org_ID
57209110872.0,155
57206455220.0,155
7103248108.0,155
57191108291.0,97
57212383793.0,156
57212379321.0,97
57202904399.0,156
7403279876.0,97
6507391043.0,97
57196261400.0,20
57214229367.0,20
57214855898.0,57
57215031057.0,19
6701610428.0,19
7403218372.0,19
57200515115.0,57
57194698845.0,57
35409277700.0,57
57193749678.0,157
55457444300.0,157
6701863708.0,157
57201666213.0,158
55694540600.0,159
7003545107.0,159
13406135400.0,158
57203017789.0,161
6701609778.0,161
7005052477.0,168
8750608700.0,169
57214071214.0,168
57193518829.0,170
7006583274.0,173
55359526600.0,170
56911636200.0,171
55272011900.0,172
57203486012.0,173
57202293242.0,174
57203024588.0,175
57160053200.0,41
36006215900.0,176
55944615300.0,174
57191995369.0,177
57195515828.0,178
57211443769.0,179
57211435896.0,178
7005408810.0,179
56685601500.0,180
16549438300.0,181
56685789300.0,24
57212757453.0,180
57212871890.0,181
57215487696.0,24
16548815300.0,180
7202875039.0,181
6701383359.0,24
57191570988.0,182
57201357657.0,182
57210289242.0,76
57192710054.0,76
57219015425.0,183
55813139600.0,183
57203836305.0,183
57219009389.0,183
57219005376.0,183
57219006078.0,183
57218481091.0,184
57217024741.0,185
57218482479.0,186
34873482400.0,16
6507317548.0,16
54781821400.0,37
57215052018.0,37
57215058041.0,37
56957771800.0,187
57204469757.0,187
57188691775.0,25
57188173800.0,25
57202579348.0,120
57214718289.0,120
57193706327.0,37
57193715705.0,38
57188833818.0,16
57209881955.0,188
57212345817.0,188
57218689472.0,189
57218687826.0,190
57218685971.0,191
7006533953.0,189
57209889565.0,16
56045493000.0,16
57217866402.0,193
8244752200.0,194
55727966500.0,193
57217871738.0,194
57218270296.0,195
57218269408.0,41
56215007300.0,196
50162863000.0,164
55422614200.0,196
6603288835.0,164
13405030000.0,196
55904183100.0,164
55279219900.0,196
57211205845.0,164
38662818500.0,196
57203219105.0,164
14059027500.0,196
6505524737.0,164
7103004161.0,164
57202612841.0,198
36499438800.0,198
55860312700.0,197
57201618074.0,199
6506325894.0,200
8608764300.0,152
57204470823.0,37
57211518929.0,203
56036628100.0,204
16033650300.0,203
57195804520.0,205
24483038000.0,152
57189375802.0,206
57212455523.0,207
6603286802.0,206
57023931200.0,207
24830555500.0,206
6602776615.0,207
56857577200.0,16
16643231700.0,209
55359090100.0,16
57217872286.0,211
57217867341.0,212
36893877000.0,210
57189218211.0,213
48361087900.0,214
7005241866.0,215
7006815587.0,216
36154754400.0,156
57193226888.0,218
57216966389.0,219
57208015963.0,64
57193230951.0,218
56584993700.0,219
55367023500.0,64
7403329173.0,218
57204964732.0,37
12544690900.0,220
54978625300.0,37
57201759181.0,222
16548784600.0,223
8922674200.0,224
55764938300.0,225
6701550039.0,226
6506328689.0,19
57201947722.0,227
57209567638.0,228
57209581042.0,229
55845968200.0,230
14831622300.0,231
12646372900.0,227
55788214400.0,228
57219330558.0,63
57219332168.0,232
57219327922.0,233
55220932600.0,63
56263319900.0,235
55436436900.0,236
57218480110.0,237
7004688501.0,238
7601550121.0,240
57201735120.0,241
57216287696.0,242
57216287324.0,243
6506462706.0,244
8357777200.0,241
7004945584.0,242
9741060000.0,246
12143690400.0,247
57208015244.0,248
57052262900.0,249
57204944822.0,250
7102369425.0,19
6603460787.0,251
6603089864.0,245
12761902000.0,246
9279493200.0,248
57194034271.0,252
53866135200.0,253
55315026400.0,254
57216076371.0,255
56818839700.0,256
23570183200.0,257
57215823167.0,258
57216048774.0,252
7202049689.0,259
57207774891.0,260
7006410098.0,262
56206655300.0,263
55368982000.0,264
56078804700.0,265
57216040137.0,266
7102391180.0,267
7402406630.0,268
7004398165.0,269
6701655006.0,62
35103143500.0,270
57216037206.0,263
7801550098.0,264
14832404400.0,265
55559344500.0,271
6701910642.0,272
56221719300.0,273
57210161259.0,273
57203181568.0,273
57212304730.0,273
55458271500.0,273
56266132600.0,273
57209399454.0,57
9245406100.0,274
57194053456.0,275
56968013300.0,276
6701723921.0,276
57202910211.0,277
57196421757.0,278
24402340500.0,277
55645613600.0,279
55546296200.0,280
6603579157.0,282
28167695400.0,279
57212950333.0,281
55945437600.0,283
7004277402.0,284
55911870000.0,285
57215811083.0,287
17434035200.0,288
24726409500.0,289
57191862517.0,97
23091904000.0,290
57208341600.0,291
53878508900.0,292
56363360200.0,293
56148594700.0,294
6602577617.0,295
36176552000.0,97
57189244450.0,296
57211332837.0,164
8231832400.0,296
57192300416.0,164
6701454416.0,296
57202064143.0,298
57204597171.0,299
57192662939.0,298
57210982957.0,299
57204035623.0,298
57196952707.0,299
57196950804.0,298
57213874106.0,299
7402658393.0,298
56680952700.0,25
7003498769.0,300
55588035200.0,301
6601908155.0,302
56102505100.0,303
57191620725.0,304
56819566000.0,41
16178649400.0,304
35729129900.0,305
53866006800.0,85
56126031600.0,306
36538565900.0,307
57210585829.0,305
57203978933.0,57
57212415946.0,100
57205129154.0,308
7402370024.0,309
57203310052.0,308
57193627694.0,310
35175200200.0,311
6602198438.0,313
55948963100.0,313
7005411524.0,313
36459611200.0,314
7402074463.0,315
34868168700.0,314
57126129700.0,316
57218886153.0,319
57205617484.0,321
57215432728.0,322
56677251600.0,324
57208598187.0,325
7004307869.0,324
57205257595.0,325
36503632200.0,327
16481299700.0,328
56331558100.0,329
47962305800.0,330
7101640734.0,331
55916448500.0,332
57200363612.0,121
57212151348.0,121
57212147414.0,121
57212136375.0,121
57200529047.0,333
56112492400.0,334
57215653879.0,335
18937960700.0,337
57216187696.0,338
25627506700.0,341
57210477807.0,342
7005345401.0,343
7005976828.0,344
57192067288.0,96
57202855772.0,96
57212089454.0,349
57202116348.0,350
56709476900.0,349
57205025235.0,350
57202256915.0,351
57193755486.0,24
57002749600.0,350
57208584595.0,354
35546747200.0,354
57003496300.0,37
57212110613.0,356
57216244800.0,356
7409253428.0,357
57144864700.0,360
57194205673.0,361
35078644900.0,85
57204475222.0,363
8208317300.0,364
55797091700.0,367
57204783601.0,367
57192945685.0,368
56939117000.0,369
56585491000.0,370
16308483700.0,368
57200214703.0,369
35311157900.0,370
55972769000.0,368
36483856300.0,369
57194027885.0,96
55345299700.0,96
56110251000.0,96
57208682307.0,372
57201589125.0,85
24779209500.0,376
56012631600.0,379
56487893500.0,41
7402648240.0,380
57200884469.0,379
57203221999.0,41
6603570606.0,382
57203028829.0,15
56824897200.0,297
57210916608.0,383
57210911049.0,37
57207008616.0,37
56315330500.0,384
55858031100.0,57
57211493546.0,386
57205881788.0,120
57214032187.0,120
57208524360.0,387
26634229600.0,131
7005934389.0,388
57208823236.0,41
57190605478.0,388
35508257500.0,37
8321530600.0,389
7005709969.0,37
57208255032.0,57
15848771600.0,391
57199980412.0,392
55475654800.0,393
43961414900.0,394
9041055700.0,395
57191156976.0,397
57209978209.0,397
57118455800.0,57
7401431037.0,398
24401574900.0,57
57201432287.0,399
7003498548.0,400
57207334294.0,63
26641352100.0,402
23569552400.0,355
36769181100.0,403
56976354400.0,404
57209659294.0,405
57209655847.0,404
57204570329.0,405
57210191104.0,407
57214009254.0,408
57217482839.0,410
57209640119.0,411
57210919648.0,26
57210912098.0,57
57206968876.0,85
57205198823.0,297
