s,name
http://kg_sdm.org/Person/Cox_J_J_,Cox J.J.
http://kg_sdm.org/Person/Craddock_T_J_A_,Craddock T.J.A.
http://kg_sdm.org/Person/Craighead_H_G_,Craighead H.G.
http://kg_sdm.org/Person/Crampton_E_,Crampton E.
http://kg_sdm.org/Person/Crandall_J_W_,Crandall J.W.
http://kg_sdm.org/Person/Crane_N_B_,Crane N.B.
http://kg_sdm.org/Person/Crockett_J_,Crockett J.
http://kg_sdm.org/Person/Csányi_G_,Csányi G.
http://kg_sdm.org/Person/Cuesta_I_,Cuesta I.
http://kg_sdm.org/Person/Cunningham_A_,Cunningham A.
http://kg_sdm.org/Person/Curtarolo_S_,Curtarolo S.
http://kg_sdm.org/Person/Custer_C_H_,Custer C.H.
http://kg_sdm.org/Person/Dahlin_E_C_,Dahlin E.C.
http://kg_sdm.org/Person/Daily_K_,Daily K.
http://kg_sdm.org/Person/Danailov_M_,Danailov M.
http://kg_sdm.org/Person/Daniluk_T_,Daniluk T.
http://kg_sdm.org/Person/Dankers_A_,Dankers A.
http://kg_sdm.org/Person/Danzi_M_,Danzi M.
http://kg_sdm.org/Person/Das_S_K_,Das S.K.
http://kg_sdm.org/Person/Dasmeh_A_,Dasmeh A.
http://kg_sdm.org/Person/Davis_A_,Davis A.
http://kg_sdm.org/Person/Davis_B_R_,Davis B.R.
http://kg_sdm.org/Person/Davis_H_C_,Davis H.C.
http://kg_sdm.org/Person/Davis_R_C_,Davis R.C.
http://kg_sdm.org/Person/Day_N_,Day N.
http://kg_sdm.org/Person/Day_R_D_,Day R.D.
http://kg_sdm.org/Person/DeMott_R_,DeMott R.
http://kg_sdm.org/Person/DeYoung_J_,DeYoung J.
http://kg_sdm.org/Person/Dean_D_L_,Dean D.L.
http://kg_sdm.org/Person/Dearden_J_,Dearden J.
http://kg_sdm.org/Person/Defigueiredo_B_P_,Defigueiredo B.P.
http://kg_sdm.org/Person/Deléglise_Lagardère_M_,Deléglise-Lagardère M.
http://kg_sdm.org/Person/Derricott_J_,Derricott J.
http://kg_sdm.org/Person/Desai_A_,Desai A.
http://kg_sdm.org/Person/Diao_J_,Diao J.
http://kg_sdm.org/Person/Dickinson_L_,Dickinson L.
http://kg_sdm.org/Person/Dickinson_T_,Dickinson T.
http://kg_sdm.org/Person/Dittemore_G_,Dittemore G.
http://kg_sdm.org/Person/Dittmann_J_,Dittmann J.
http://kg_sdm.org/Person/Doering_C_R_,Doering C.R.
http://kg_sdm.org/Person/Dornisch_W_,Dornisch W.
http://kg_sdm.org/Person/Draper_S_R_E_,Draper S.R.E.
http://kg_sdm.org/Person/Dryer_Z_,Dryer Z.
http://kg_sdm.org/Person/Du_X_,Du X.
http://kg_sdm.org/Person/Duffy_Deno_C_A_,Duffy-Deno C.A.
http://kg_sdm.org/Person/Dutson_J_,Dutson J.
http://kg_sdm.org/Person/Dwivedi_V_H_,Dwivedi V.H.
